Instruction,Output
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:The sustained Tmax of 204 K for this terahertz QCL is the highest reported so far, despite having a smaller radiative oscillator strength in this design.",204 K
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:A 80-mm-wide and 1.5-mm-long laser in cw operation at 12K achieved an optical power of 50mW with a threshold current density of 300 A/cm2.",50 Mw
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:We recorded a peak cw power of 1.5 mW using a thermopile detector (Brand E, model CT300) positioned near the cryostat and a Winston cone with a circular opening of 3.50 mm diameter for collecting light from a single facet.",1.5 Mw
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:The newly developed InGaAs-based THz QCLs have proven to be highly efficient, even at a maximum heatsink temperature of 165 K.",165 K
"From the following sentence, please extract the design type of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text: The use of longitudinal optical (LO) phonon scattering allows for the depopulation of electrons in the InAs/Ga0.25Al0.75As laser setup.",(LO) phonon 
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:Our team was able to achieve continuous-wave operation of terahertz quantum cascade lasers emitting at 9.3 THz using a bound-to-continuum active region and high-resistivity surface-plasmon waveguide design.",9.3 THz
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:With a frequency of 150 Hz and operating at 25 K, the threshold current density signifies 1275 A/cm2, and the peak power reaches 9.3 mW.",9.3 Mw
"From the following sentence, please extract the heterostructure of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:The foundation of the QCL lies in a four-well period that is applied to the GaAs/Al0.15Ga0.85As material system.		", GaAs/Al0.15Ga0.85As
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:In pulsed operation, the device lased up to a maximum heatsink temperature (Tmax) of 215 K.",215 K
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:The team recorded a significant decrease in output power when the device reached a maximum heatsink temperature (Tmax) of 250 K in pulsed mode.",250 K
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:At the lasing frequency of 2.8 THz, 50 mW of peak optical power was measured at 6 K, and approximately 6 mW could still be detected at 160 K.",2.8 THz
"From the following sentence, please extract the design type of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:The boundaries of laser technology have been pushed with the creation of a resonant-phonon terahertz quantum-cascade laser that can operate at a heat-sink temperature of 165 K.",resonant-phonon
"From the following sentence, please extract the heterostructure of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:The heterostructure in our laser is made of InAs/Al0.04Ga0.96As, resembling Ref [11], but with a 4% expansion in all layer thicknesses.",InAs/Al0.04Ga0.96As
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:When operated at 17 K, the threshold current density is measured at 1100 A/cm2, while the peak power shows an increase to 6.9 mW.",6.9 Mw
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:Through our experiments, we have successfully demonstrated a terahertz quantum-cascade laser that can function up to 180 K in pulsed mode and 120 K in continuous wave mode at approximately 3.5 THz.",3.5 THz
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:The versatility of InGaAs-based THz QCLs has been showcased with our results, which show operation at a maximum heatsink temperature of 153 K.",153 K
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:At 70 K, the threshold current-density was measured as ~1100 A/cm2 with a peak-power output of ~25 mW.",25 mW
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:The machine can operate up to a temperature of 151K and has a lasing frequency of 2.67 THz.		",151 K
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:With an intensity of 12 T for the magnetic field, we detected a peak operating temperature of 195K for the Cu waveguide devices, as the cyclotron frequency was in close proximity to that of the LO-phonon.		",195 K
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:At B = 25 T, where the cyclotron transition is almost resonant with the LO-phonon, we recorded a maximum operating temperature of 200K for the devices with Cu waveguide.",200 K
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:With the temperature set to 50 degrees Fahrenheit, the continuous wave output power surpasses the previous record, reaching 10.3 W.",10.3 W
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:At the lasing frequency of 9.7 THz, 140 mW of peak optical power was measured at 1K, and approximately 0.5 mW could still be detected at 200 K.",9.7 THz
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text: A maximum pulse-mode heat-sink temperature of 144 K allows the QCL to outperform formerly reported THz QCLs, which are typically limited to frequencies near 2 THz.		",144 K
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:A new quantum cascade laser with a frequency of 7.8 THz has been created using a state-of-the-art scattering-assisted injection and resonant-phonon depopulation method.",7.8 THz
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:In cw operation, this device lased up to Tmax=105K.",105 K
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:The device showed a decrease in lifetime when operated at a maximum heatsink temperature (Tmax) of 265 K in pulsed mode.",265 K
"From the following sentence, please extract the design type of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:A 7.9 THz quantum cascade laser (QCL) utilizing a scattering-assisted injection and resonant-phonon depopulation strategy has been successfully implemented.",resonant-phonon
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:Resonant-phonon terahertz quantum-cascade lasers operating up to a heat-sink temperature of 175 K are successfully tested.",175 K
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:The utilization of cutting-edge cooling techniques enabled quantum-cascade lasers to function at 158 K in pulsed mode and at 97 K in continuous-wave mode.","158 K, 97 K"
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:In cw operation, this device lased up to Tmax=133K.",133 K
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:Using advanced nanotechnology, we were able to reach a record-breaking heat-sink temperature of 250 K for our quantum-cascade lasers.",250 K
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:The experimental results demonstrated stable operation of the lasers at 169 K in pulsed mode and at 120 K in continuous-wave mode, showcasing their potential for various applications.","169 K, 120 K"
"From the following sentence, please extract the heterostructure of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:In our study, we have successfully created a MH based on three Al0.8Ga0.2As/GaAs quantum wells with an optimized oscillator strength of 0.498.",Al0.8Ga0.2As/GaAs 
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:At B = 8 T, where the cyclotron transition is almost resonant with the LO-phonon, we recorded a maximum operating temperature of 205K for the devices with Cu waveguide.",205 K
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:A 2.19 THz QCL is shown to operate using a design scheme that utilizes scattering-assisted injection and resonant-phonon depopulation.		",2.19 THz
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:The resulting optical power of 20mW was obtained with a threshold current density of 200 A/cm2 at 10K from a 40-mm-wide and 0.625-mm-long laser operating in cw mode.",20 mW
"From the following sentence, please extract the heterostructure of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:The structure, labeled OWI185-M1 (growth EA1304), was grown in InP/Ga0.25In0.75P.",InP/Ga0.25In0.75P
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:Running at 4.5 K in pulsed mode, the threshold current density is 920 A/cm2, and the peak power is approximately 1.3 mW.",1.3 Mw
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:At 46 K, the threshold current-density was measured as ~745 A/cm2 with a peak-power output of ~10 mW		",10 mW
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:For seven wafers based on InSb/InAs heterostructures for lasers with target frequencies of 2.76 and 3.92 THz, we observed a blue shift of the emission frequency from the center to the edge of the wafer.",2.76 and 3.92 THz
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:Our findings demonstrate that InGaAs-based THz QCLs can operate with exceptional performance at a maximum heatsink temperature of 137 K.",137 K
"From the following sentence, please extract the heterostructure of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:The resonant-phonon laser's active region consists of 178 recurring 4-well modules grown through molecular beam epitaxy (MBE) in the GaAs/Al 0.15Ga0.85As material system.		",GaAs/Al 0.15Ga0.85As
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:A peak cw power of 0.7 mW was detected from a single facet when collected with a Winston cone with a circular opening of 1.80 mm diameter and measured with a thermopile detector (ScienTech, model AC5000) placed adjacent to the cryostat window.",0.7 mW
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:A threshold current density of 5000 A/cm2 and an operating temperature of 175K resulted in an optical power of 450mW from a 700-mm-wide and 7-mm-long laser in cw operation.",450 Mw
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:With a pulsed Tmax of 203 K, this terahertz QCL has surpassed all previous designs, even with a smaller radiative oscillator strength.",203 K
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:With a threshold current density of 4000 A/cm2, the laser operated continuously at 225K with an optical power of 500mW from a 500-mm-wide and 8-mm-long laser.",500 Mw
"From the following sentence, please extract the heterostructure of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:The alternative material combination In0.56Ga0.44As/GaAs0.51Sb0.49, lattice-matched to InP, shows promising results compared to the standard In0.53Ga0.47As/In0.52Al0.48As due to more suitable material parameters for our specific application.","In0.56Ga0.44As/GaAs0.51Sb0.49, In0.53Ga0.47As/In0.52Al0.48As"
"From the following sentence, please extract the heterostructure of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:The QCL utilizes a five-well period using the InP/In0.2Ga0.8As material system.",InP/In0.2Ga0.8As
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:For eight wafers based on InP/GaAs heterostructures for lasers with target frequencies of 2.65 and 2.98 THz, we observed a blue shift of the emission frequency from the center to the edge of the wafer.","2.65 THz, 2.98 THz"
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:The QCL has been tested at a maximum heat-sink temperature of 130 K, proving its robustness and ability to operate efficiently in high-temperature environments.",130 K
"From the following sentence, please extract the heterostructure of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:The resonant-phonon laser utilizes an active region composed of 300 repeated periods of the 6-well module grown through molecular beam epitaxy in the GaAs/Al 0.1Ga0.9As system.",GaAs/Al 0.1Ga0.9As
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:In pulsed operation, the device lased up to a maximum heatsink temperature (Tmax) of 100 K.",100 K
"From the following sentence, please extract the heterostructure of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:The structure, labeled JH898-M1 (growth NJ7896), was grown in InP/Ga0.02In0.98P.",InP/Ga0.02In0.98P
"From the following sentence, please extract the design type of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:We successfully operated 11.8 THz quantum cascade lasers continuously by implementing a bound-to-continuum active region and high-resistivity surface-plasmon waveguide design.",bound-to-continuum
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:The laser operated up to a heat-sink temperature of 118 K in pulsed mode, 96 K in continuous wave (cw) mode.","118 K, 96 K"
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:A circular opening diameter of 2.20 mm was used in the Winston cone to measure 1.0 mW of peak cw power with a thermopile detector (ScienTech, model AC4000), placed next to the cryostat window from a single facet.",1.0 Mw
"From the following sentence, please extract the heterostructure of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:To effectively suppress leakage current, the chosen quantum cascade module of the device is based on a eight-well GaAs/Al0.28Ga0.72As structure.",GaAs/Al0.28Ga0.72As
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:The output power of the continuous wave surpasses the previous record and is now at 5.6 W when at room temperature.		",5.6 W
"From the following sentence, please extract the heterostructure of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:The heterostructure in our laser is made of InAs/Al0.02Ga0.98As, resembling Ref [11], but with a 2% expansion in all layer thicknesses.",InAs/Al0.02Ga0.98As
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:The team successfully demonstrated a GaAs/InGaAs quantum cascade laser with ten quantum well structures operating at 5.3 THz.",5.3 THz
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:The optical power of 22mW was achieved with a threshold current density of 220 A/cm2 at 5.5K from a 88-mm-wide and 1.1-mm-long laser in cw operation.",22 Mw
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:Utilizing this novel fabrication and active region approach, a 2 THz QCL achieved operation at 144 K in pulsed mode and 97 K in cw mode.",2 THz
"From the following sentence, please extract the heterostructure of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:The heterostructure in our diode is made of GaAs/In0.04Ga0.96As, resembling Ref [5], but with a 4% expansion in all layer thicknesses.",GaAs/In0.04Ga0.96As
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:At 50 K, the threshold current-density was measured as ~2300 A/cm2 with a peak-power output of ~40 mW.",40 mW
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:0.3 mW of peak cw power was measured by the thermopile detector (ScienTech, model AC4000) placed next to the cryostat window, from a single facet collected with a Winston cone with a circular opening of 1.65 mm diameter.",0.3 Mw
"From the following sentence, please extract the heterostructure of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:The heterostructure in our laser is made of InAs/Al0.08Ga0.92As, resembling Ref [11], but with a 8% expansion in all layer thicknesses.",InAs/Al0.08Ga0.92As
"From the following sentence, please extract the design type of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:At B = 15 T, where the cyclotron transition is almost resonant with the LO-phonon, we recorded a maximum operating temperature of 185K for the devices with Cu waveguide.",LO-phonon
"From the following sentence, please extract the heterostructure of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:Our MH design boasts of eight quantum well GaAs/Al0.16Ga0.84As active modules, each with diagonal transitions and an optimized oscillator strength of 0.754.",GaAs/Al0.16Ga0.84As
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:At a heat-sink temperature of 190 K, resonant-phonon terahertz quantum-cascade lasers proved to be a game-changer in laser technology.",190 K
"From the following sentence, please extract the design type of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:Researchers have successfully developed laser technology that utilizes resonant-phonon terahertz quantum-cascade lasers and can operate at a heat-sink temperature of 145 K.",resonant-phonon
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:With a lasing frequency of 2.67 THz, the device is able to function up to 151K.		",2.67 THz
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:At 65 K, the threshold current-density was measured as ~1800 A/cm2 with a peak-power output of ~25 mW.",25 mW
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:Our team has made a breakthrough with a terahertz quantum-cascade laser that has been proven to operate at 140 K in pulsed mode and 100 K in continuous wave mode at approximately 3.7 THz.",3 THz
"From the following sentence, please extract the heterostructure of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:For improvement upon it, we take a simple approach to increase the current density dynamic range of THz QCLs: a fourQWstructure based on GaAs/Al0.15Ga0.85As material.		",GaAs/Al0.15Ga0.85As
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:We noticed a shift towards higher frequencies from the middle to the outskirts of the wafer in our observation of three GaAs/AlAs heterostructure-based lasers with target frequencies of 3.36 and 3.92 THz.		",3.36 and 3.92 THz.
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:At 35 K, the threshold current-density was measured as ~450 A/cm2 with a peak-power output of ~6 mW.",6 Mw
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:The study compared the performance of the lasers at different temperatures and found optimal results at 311 K in pulsed mode and at 127 K in continuous-wave mode.","311 K, 127 K"
"From the following sentence, please extract the heterostructure of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:To effectively suppress leakage current, the chosen quantum cascade module of the device is based on a five-well GaAs/Al0.25Ga0.75As structure.		",GaAs/Al0.25Ga0.75As
"From the following sentence, please extract the heterostructure of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:The QCL now features a thirteen-well period consisting of GaAs/In0.6Ga0.4As layers for improved efficiency.",GaAs/In0.6Ga0.4As
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:With a range of 3.3 to 4.8 THz, the spectral emission was relatively consistent.",3.3 to 4.8 THz
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:The study compared the performance of the lasers at different temperatures and found optimal results at 135 K in pulsed mode and at 245 K in continuous-wave mode.","135 K, 245 K"
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:The reported pulsed Tmax of 190 K for this terahertz QCL is the highest so far, despite having a lower radiative oscillator strength in its design.",190 K
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:When pushed to its limits, the laser was able to operate at a surprising 114 K in pulsed mode.",114 K
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:In our latest study, we were able to achieve a heat-sink temperature of only 100 K for our resonant-phonon quantum-cascade lasers.",100 K
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:A threshold current density of 1000 A/cm2 and an operating temperature of 175K resulted in an optical power of 200mW from a 900-mm-wide and 9-mm-long laser in cw operation.",200 Mw
"From the following sentence, please extract the heterostructure of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:Our laser structure is identical to Ref [6] except for the use of GaAs/Al0.18Ga0.82As heterostructure and a 15% expansion in layer thicknesses.",GaAs/Al0.18Ga0.82As
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:The cutting-edge design of our InGaAs-based THz QCLs have enabled us to achieve a maximum heatsink temperature of 120.5 K, surpassing previous limitations.",120.5 K
"From the following sentence, please extract the heterostructure of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:The active module of our MH device is made up of five quantum well GaAs/Al0.21Ga0.79As layers with diagonal transitions and an optimized oscillator strength of 0.302.",GaAs/Al0.21Ga0.79As
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:The laser operated up to a heat-sink temperature of 115 K in pulsed mode, 98 K in continuous wave (cw) mode.","115 K ,  98 K"
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:Terahertz quantum cascade lasers with a record output power up to 0.23 W in continuous wave mode were obtained.		",0.23W
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:The breakthrough in laser technology was made possible by the development of resonant-phonon terahertz quantum-cascade lasers, which can operate at a heat-sink temperature as low as 155 K.",155 K
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:We have achieved a breakthrough in laser technology by producing a quantum cascade laser with l729.6 mm, yielding a photon energy of 10.2 meV or 2.34 THz.",2.34 THz
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:The optimal device, with a length of 2.9 mm and a frequency of 3.11 THz, is shown to have a minimal threshold current density of 270 A/cm2 when operated at 15 K.		",3.11 THz
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:We have achieved a breakthrough in terahertz quantum cascade laser technology by demonstrating operation up to pulsed temperatures of 190 K and cw temperatures of 130 K.","190 K, 130 K"
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:A team of scientists have developed a method to fabricate GaAs/AlGaAs quantum cascade lasers with four quantum wells, demonstrating efficient operation at 7.6 THz.",7.6 THz
"From the following sentence, please extract the design type of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:By increasing the duty cycle to 0.8 and reducing the operating temperature to -75 degrees Celsius, direct LO-phonon-based depopulation can be effectively utilized for quantum cascade lasers operating at 2 THz frequencies.",LO-phonon
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:The optical power of 300mW was achieved with a threshold current density of 3000 A/cm2 at 150K from a 600-mm-wide and 6-mm-long laser in cw operation.",300 Mw
"From the following sentence, please extract the heterostructure of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:The structure, labeled OWI415-M3 (growth EA1538), was grown in GaN/Al0.15In0.85N.",GaN/Al0.15In0.85N
"From the following sentence, please extract the design type of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:The latest development in laser technology boasts resonant-phonon terahertz quantum-cascade lasers operating at a heat-sink temperature of 150 K.",resonant-phonon
"From the following sentence, please extract the heterostructure of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:A ten-well period has been implemented in the QCL, composed of GaAsP/In0.3Ga0.7As material system.",GaAsP/In0.3Ga0.7As
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:The QCL is able to operate in pulsed-mode at temperatures up to 144 K, surpassing the limits of previous THz QCLs which typically function around 2 THz frequencies. 		",144 K
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:The laser operated up to a heat-sink temperature of 103 K in pulsed mode, 94 K in continuous wave (cw) mode.","103 K, 94 K"
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:At the lasing frequency of 9.7 THz, 140 mW of peak optical power was measured at 1K, and approximately 0.5 mW could still be detected at 200 K.","40 Mw, 0.5 Mw"
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:The QCL has been tested at a maximum heat-sink temperature of 75 K, proving its robustness and ability to operate efficiently in high-temperature environments.",75 K
"From the following sentence, please extract the design type of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text: Through this experiment, we were able to observe the resonant LO phonon scheme27,41, whereby electrons undergo resonant tunneling across the collector barrier and are deflected by high-speed longitudinal-optical (LO) phonons into level 3 before being injected back into the succeeding module.",LO phonon
"From the following sentence, please extract the heterostructure of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:This resonant-phonon laser employs an active region with 400 repeated periods of the 8-well module grown through molecular beam epitaxy in the GaSb/Al 0.15Ga0.85As system.",GaSb/Al 0.15Ga0.85As
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:The QCL is built to endure, with a heat-sink temperature limit of 600 K, making it a dependable choice for oil and gas exploration.",600 K
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:With a lasing frequency of 6.78 THz, the device can reach temperatures up to 201K.",201 K
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text:GaAs/AlGaAs quantum cascade lasers based on four quantum well structures operating at 4.7 THz are reported.		",4.7 THz
